292.5,-35.7
292.5,-45.9
292.5,-56.1
292.5,-66.3
303.75,-51
303.75,-40.8
303.75,-30.6
303.75,-20.4
303.75,-10.2
315,-5.1
315,-15.3
315,-25.5
315,-35.7
315,-45.9
315,-56.1
315,-66.3
315,-76.5
326.25,-51
326.25,-40.8
326.25,-30.6
326.25,-20.4
326.25,-10.2
337.5,-5.1
337.5,-15.3
337.5,-25.5
337.5,-35.7
337.5,-45.9
337.5,-56.1
337.5,-66.3
348.75,-51
348.75,-40.8
348.75,-30.6
348.75,-20.4
348.75,-10.2
